xaxis; MM-Logdet; MM-Logdet-fix; MM-Matexp; CoLiDe-Fix; CoLiDe; DAGMA; NoTears
5.000000000000000000E+001;1.483291809856346504E+002;1.094762258551820366E+002;2.546437956014053157E+002;6.427867218810658869E+002;1.237400758909258002E+003;4.351208563185861067E+002;2.705479255477224569E+002
6.000000000000000000E+001;1.123654830866435503E+002;7.843596553167360241E+001;2.395301764557230513E+002;5.120874508753657892E+002;1.285965385199184993E+003;3.342344857944086698E+002;2.315816474332007999E+002
8.000000000000000000E+001;7.196481514359143716E+001;4.509084855189009033E+001;1.542766218290051370E+002;3.140106858536267964E+002;1.145569859619185081E+003;2.213748437205634616E+002;1.906667882275012005E+002
1.000000000000000000E+002;3.988383269252938845E+001;2.447846720790693809E+001;1.260336972331130880E+002;1.809084463820334179E+002;8.646782709147372543E+002;1.314904688133496222E+002;1.528014044231532012E+002
2.000000000000000000E+002;8.121388554152320083E+000;7.536618718437066988E+000;4.569563416426501590E+001;6.106810182911700480E+001;3.593364262826608524E+002;5.644778272427181776E+001;1.204099905979674929E+002
5.000000000000000000E+002;5.404996878900156787E-001;3.004052022143676393E+000;1.179645003845683533E+002;4.052140931266098534E+001;1.403671392622291023E+002;3.849418700737856369E+001;1.029197023793047379E+002
1.000000000000000000E+003;1.599999999999999201E-001;2.858025032731673853E+000;1.451064761504573255E+002;4.758872031496675703E+001;1.245005483446243773E+002;4.415377381969304338E+001;1.236576016349082749E+002
5.000000000000000000E+003;3.176819745345025758E+000;2.331377206025025295E+000;1.837329668445171365E+002;3.610496552439663276E+001;1.129788540691608887E+002;3.767822617941745023E+001;9.499620550437214206E+001
