xaxis; MM-Logdet; MM-Logdet-fix; MM-Matexp; CoLiDe-Fix; CoLiDe; DAGMA; NoTears
5.000000000000000000E+001;1.568918098563465691E+001;1.271622585518203152E+001;7.166379560140531169E+001;4.668672188106592102E+001;6.114075890925791157E+001;4.204085631858609418E+001;3.212792554772249787E+001
6.000000000000000000E+001;1.094548308664354863E+001;9.515965531673598932E+000;8.019017645572303365E+001;4.026745087536583156E+001;5.422538519918508371E+001;3.133448579440868897E+001;2.780164743320078813E+001
8.000000000000000000E+001;9.804815143591437021E+000;8.190848551890091755E+000;5.067662182900514267E+001;3.317068585362684985E+001;5.306985961918497452E+001;2.695484372056347411E+001;2.778678822750120503E+001
1.000000000000000000E+002;6.263832692529391011E+000;5.218467207906935634E+000;5.343369723311309372E+001;2.976844638203343862E+001;3.793827091473728075E+001;2.293046881334963061E+001;2.962140442315320144E+001
2.000000000000000000E+002;2.881388554152320314E+000;2.896618718437067308E+000;1.259563416426501270E+001;1.814810182911700309E+001;4.023642628266083676E+001;1.634778272427181278E+001;2.658999059796749620E+001
5.000000000000000000E+002;4.004996878900156654E-001;1.384052022143676286E+000;7.768450038456835216E+001;1.192140931266098214E+001;3.888713926222909834E+001;1.145418700737856632E+001;2.687970237930472450E+001
1.000000000000000000E+003;1.399999999999999301E-001;1.518025032731673996E+000;9.564647615045733176E+001;1.644872031496675646E+001;3.392054834462437896E+001;1.387377381969304224E+001;4.227760163490828660E+001
5.000000000000000000E+003;2.576819745345025670E+000;1.271377206025025464E+000;1.195729668445171399E+002;1.196496552439663397E+001;2.809885406916090034E+001;1.307822617941745058E+001;2.993620550437213268E+001
