xaxis; MM-Logdet; MM-Logdet-fix; MM-Matexp; CoLiDe-Fix; CoLiDe; DAGMA; NoTears
5.000000000000000000E+001;1.242500000000000000E+002;8.725000000000000000E+001;1.552500000000000000E+002;5.682500000000000000E+002;1.131000000000000000E+003;3.615000000000000000E+002;2.240000000000000000E+002
6.000000000000000000E+001;9.350000000000000000E+001;6.525000000000000000E+001;1.230000000000000000E+002;4.402500000000000000E+002;1.196000000000000000E+003;2.862500000000000000E+002;1.860000000000000000E+002
8.000000000000000000E+001;5.525000000000000000E+001;3.200000000000000000E+001;8.700000000000000000E+001;2.612500000000000000E+002;1.059500000000000000E+003;1.742500000000000000E+002;1.457500000000000000E+002
1.000000000000000000E+002;2.900000000000000000E+001;1.525000000000000000E+001;5.400000000000000000E+001;1.292500000000000000E+002;8.012500000000000000E+002;9.125000000000000000E+001;1.032500000000000000E+002
2.000000000000000000E+002;3.000000000000000000E+000;2.250000000000000000E+000;2.500000000000000000E+001;2.825000000000000000E+001;2.882500000000000000E+002;2.625000000000000000E+001;7.525000000000000000E+001
5.000000000000000000E+002;0.000000000000000000E+000;1.000000000000000000E+000;1.700000000000000000E+001;2.025000000000000000E+001;7.350000000000000000E+001;2.000000000000000000E+001;5.950000000000000000E+001
1.000000000000000000E+003;0.000000000000000000E+000;0.000000000000000000E+000;1.700000000000000000E+001;2.200000000000000000E+001;7.200000000000000000E+001;2.100000000000000000E+001;5.600000000000000000E+001
5.000000000000000000E+003;0.000000000000000000E+000;0.000000000000000000E+000;1.625000000000000000E+001;1.625000000000000000E+001;6.050000000000000000E+001;1.700000000000000000E+001;4.700000000000000000E+001
