xaxis; MM-Logdet; MM-Logdet-fix; MM-Matexp; CoLiDe-Fix; CoLiDe; DAGMA; NoTears
5.000000000000000000E+001;1.169508190143653223E+002;8.404377414481797359E+001;1.113162043985946781E+002;5.494132781189341586E+002;1.115119241090741980E+003;3.510391436814138615E+002;2.062920744522774896E+002
6.000000000000000000E+001;9.047451691335645307E+001;5.940403446832640100E+001;7.914982354427696976E+001;4.315525491246341403E+002;1.177514614800815025E+003;2.715655142055912847E+002;1.759783525667992024E+002
8.000000000000000000E+001;5.235518485640855602E+001;2.870915144810990682E+001;5.292337817099485164E+001;2.476693141463731251E+002;1.039430140380814919E+003;1.674651562794365134E+002;1.350932117724987904E+002
1.000000000000000000E+002;2.735616730747060643E+001;1.404153279209306504E+001;1.916630276688690060E+001;1.213715536179665548E+002;7.888017290852627639E+002;8.562953118665036811E+001;9.355859557684681249E+001
2.000000000000000000E+002;2.358611445847679899E+000;1.743381281562932372E+000;2.050436583573498694E+001;2.477189817088299861E+001;2.788635737173391931E+002;2.375221727572818864E+001;6.723000940203249343E+001
5.000000000000000000E+002;9.999999999999999547E-007;2.359479778563238206E-001;9.999999999999999547E-007;1.667859068733901751E+001;6.259286073777090564E+001;1.558581299262143283E+001;4.916029762069528175E+001
1.000000000000000000E+003;9.999999999999999547E-007;9.999999999999999547E-007;9.999999999999999547E-007;1.469127968503324411E+001;5.665945165537561934E+001;1.640622618030695890E+001;3.910239836509170885E+001
5.000000000000000000E+003;9.999999999999999547E-007;9.999999999999999547E-007;9.999999999999999547E-007;1.217503447560336660E+001;5.678114593083909512E+001;1.152177382058255084E+001;3.512379449562786959E+001
