xaxis; MM-Logdet; MM-Logdet-fix; MM-Matexp; CoLiDe-Fix; CoLiDe; DAGMA; NoTears
5.000000000000000000E+001;1.320000000000000000E+002;9.850000000000000000E+001;1.670000000000000000E+002;5.875000000000000000E+002;1.167000000000000000E+003;3.890000000000000000E+002;2.355000000000000000E+002
6.000000000000000000E+001;1.020000000000000000E+002;6.850000000000000000E+001;1.445000000000000000E+002;4.730000000000000000E+002;1.222000000000000000E+003;3.010000000000000000E+002;2.015000000000000000E+002
8.000000000000000000E+001;6.200000000000000000E+001;3.700000000000000000E+001;9.700000000000000000E+001;2.835000000000000000E+002;1.086500000000000000E+003;1.955000000000000000E+002;1.620000000000000000E+002
1.000000000000000000E+002;3.250000000000000000E+001;1.900000000000000000E+001;6.350000000000000000E+001;1.470000000000000000E+002;8.275000000000000000E+002;1.020000000000000000E+002;1.200000000000000000E+002
2.000000000000000000E+002;5.000000000000000000E+000;5.000000000000000000E+000;3.200000000000000000E+001;4.000000000000000000E+001;3.210000000000000000E+002;3.600000000000000000E+001;8.850000000000000000E+001
5.000000000000000000E+002;0.000000000000000000E+000;1.000000000000000000E+000;2.400000000000000000E+001;2.700000000000000000E+001;1.035000000000000000E+002;2.550000000000000000E+001;6.900000000000000000E+001
1.000000000000000000E+003;0.000000000000000000E+000;1.000000000000000000E+000;2.350000000000000000E+001;2.700000000000000000E+001;8.600000000000000000E+001;2.700000000000000000E+001;7.000000000000000000E+001
5.000000000000000000E+003;0.000000000000000000E+000;1.000000000000000000E+000;2.400000000000000000E+001;2.150000000000000000E+001;8.000000000000000000E+001;2.200000000000000000E+001;5.650000000000000000E+001
